Strategy,Sector,Solution
Adaptation,Engineered and Built Envionment,flood levees and culverts
Adaptation,Engineered and Built Envionment,water storage and pump storage
Adaptation,Engineered and Built Envionment,sewage works
Adaptation,Engineered and Built Envionment,improved drainage
Adaptation,Engineered and Built Envionment,beach nourishment
Adaptation,Engineered and Built Envionment,flood and cyclone shelters
Adaptation,Engineered and Built Envionment,building codes
Adaptation,Engineered and Built Envionment,storm and wastewater management
Adaptation,Engineered and Built Envionment,transport and road infrastruction adaptation
Adaptation,Engineered and Built Envionment,floating houses
Adaptation,Engineered and Built Envionment,adjusting power plants and electricity grids
Adaptation,Technological,New crop and animal varieties
Adaptation,Technological,genetic techniques
Adaptation,Technological,traditional technologies and methods
Adaptation,Technological,efficient irrigation
Adaptation,Technological,water saving technologies
Adaptation,Technological,rainwater harvesting
Adaptation,Technological,conservation agriculture
Adaptation,Technological,food storage and preservation facilities
Adaptation,Technological,hazard mapping and monitoring technology
Adaptation,Technological,early warning system
Adaptation,Technological,building insulation
Adaptation,Technological,mechanical and passive cooling
Adaptation,Technological,renewable energy technologie
Adaptation,Technological,second-generation biofuels
Adaptation,Services,Social safety nets and social protection
Adaptation,Services,food banks and distribution of food surplu
Adaptation,Services,municipal services including water and sanitation
Adaptation,Services,vaccination programs
Adaptation,Services,essential public health services
Adaptation,Services,including reproductive health services
Adaptation,Services,enhanced emergency medical services
Adaptation,Services,international trade
Adaptation,Educational,Awareness raising and integrating into education
Adaptation,Educational,gender equity in education
Adaptation,Educational,extension services
Adaptation,Educational,sharing local and traditional knowledge
Adaptation,Educational,integrating into adaptation planning
Adaptation,Educational,participatory action research and social learning
Adaptation,Educational,community surveys
Adaptation,Educational,knowledge-sharing and learning platforms
Adaptation,Educational,international conferences and research networks
Adaptation,Educational,communication through media
Adaptation,Informational,Hazard and vulnerability mapping
Adaptation,Informational,early warning and response systems
Adaptation,Informational,including health early warning systems
Adaptation,Informational,systematic monitoring and remote sensing
Adaptation,Informational,improved forecasts
Adaptation,Informational,downscaling climate scenarios
Adaptation,Informational,longitudinal data sets
Adaptation,Informational,integrating indigenous climate observations
Adaptation,Informational,community-based adaptation plan
Adaptation,Informational,community-driven slum upgrading
Adaptation,Informational,participatory scenario development
Adaptation,Behavioral,Accommodation
Adaptation,Behavioral,household preparation and evacuation planning
Adaptation,Behavioral,retreat
Adaptation,Behavioral,migration
Adaptation,Behavioral,human health
Adaptation,Behavioral,human security
Adaptation,Behavioral,soil and water conservation
Adaptation,Behavioral,livelihood diversification
Adaptation,Behavioral,changing livestock and aquaculture practices
Adaptation,Behavioral,changing cropping
Adaptation,Behavioral,crop-switching
Adaptation,Behavioral,"practices, patterns, and planting dates"
Adaptation,Behavioral,silvicultural option
Adaptation,Behavioral,reliance on social networks
Adaptation,Economic,Financial incentives including taxes and subsidies
Adaptation,Economic,insurance
Adaptation,Economic,including index-based weather insurance schemes
Adaptation,Economic,catastrophe bonds
Adaptation,Economic,revolving funds
Adaptation,Economic,payments for ecosystem services
Adaptation,Economic,water tariffs
Adaptation,Economic,savings groups
Adaptation,Economic,microfinance
Adaptation,Economic,disaster contingency funds
Adaptation,Economic,cash transfers
Adaptation,Laws and regulations,Land zoning laws
Adaptation,Laws and regulations,building standards
Adaptation,Laws and regulations,easements
Adaptation,Laws and regulations,water regulations and agreements
Adaptation,Laws and regulations,laws to support disaster risk reduction
Adaptation,Laws and regulations,laws to encourage insurance purchasing
Adaptation,Laws and regulations,defining property rights and land tenure security
Adaptation,Laws and regulations,protected areas
Adaptation,Laws and regulations,marine protected areas
Adaptation,Laws and regulations,fishing quotas
Adaptation,Laws and regulations,patent pools and technology transfer
Adaptation,Government policies and programs,National and regional adaptation plans
Adaptation,Government policies and programs,mainstreaming climate change
Adaptation,Government policies and programs,sub-national and local adaptation plans
Adaptation,Government policies and programs,urban upgrading programs
Adaptation,Government policies and programs,municipal water management programs
Adaptation,Government policies and programs,disaster planning and preparedness
Adaptation,Government policies and programs,city-level plans
Adaptation,Government policies and programs,district-level plans
Adaptation,Government policies and programs,sector plans
Adaptation,Government policies and programs,integrated water resource management
Adaptation,Government policies and programs,landscape and watershed managemen
Adaptation,Government policies and programs,integrated coastal zone management
Adaptation,Government policies and programs,adaptive management
Adaptation,Government policies and programs,ecosystem-based management
Adaptation,Government policies and programs,sustainable forest management
Adaptation,Government policies and programs,fisheries management
Adaptation,Government policies and programs,community-based adaptation
